Iteration 00 | Test Loss = -0.4571
Result for food_neutouch_baseline_svmlinear: -0.6371 ± 0.0640

Iteration 00 | Test Loss = -0.7143
Iteration 01 | Test Loss = -0.7143
Iteration 02 | Test Loss = -0.7429
Iteration 03 | Test Loss = -0.7714
Iteration 04 | Test Loss = -0.6857
Iteration 05 | Test Loss = -0.7429
Iteration 06 | Test Loss = -0.7714
Iteration 07 | Test Loss = -0.7143
Iteration 08 | Test Loss = -0.7714
Iteration 09 | Test Loss = -0.7714
Iteration 10 | Test Loss = -0.7714
Iteration 11 | Test Loss = -0.6571
Iteration 12 | Test Loss = -0.6857
Iteration 13 | Test Loss = -0.7714
Iteration 14 | Test Loss = -0.7714
Iteration 15 | Test Loss = -0.8000
Iteration 16 | Test Loss = -0.7714
Iteration 17 | Test Loss = -0.8286
Iteration 18 | Test Loss = -0.8000
Iteration 19 | Test Loss = -0.6857
Result for food_neutouch_baseline_svmrbf: -0.7471 ± 0.0445

Iteration 00 | Test Loss = -0.7429
Iteration 01 | Test Loss = -0.7714
Iteration 02 | Test Loss = -0.6286
Iteration 03 | Test Loss = -0.8000
Iteration 04 | Test Loss = -0.6000
Iteration 05 | Test Loss = -0.7429
Iteration 06 | Test Loss = -0.5714
Iteration 07 | Test Loss = -0.6857
Iteration 08 | Test Loss = -0.8000
Iteration 09 | Test Loss = -0.7429
Iteration 10 | Test Loss = -0.6857
Iteration 11 | Test Loss = -0.7143
Iteration 12 | Test Loss = -0.7143
Iteration 13 | Test Loss = -0.7429
Iteration 14 | Test Loss = -0.7714
Iteration 15 | Test Loss = -0.7143
Iteration 16 | Test Loss = -0.6571
Iteration 17 | Test Loss = -0.6571
Iteration 18 | Test Loss = -0.6571
Iteration 19 | Test Loss = -0.6857
Result for food_neutouch_baseline_mlp: -0.7043 ± 0.0615

Iteration 00 | Test Loss = -0.9143
Iteration 01 | Test Loss = -0.9143
Iteration 02 | Test Loss = -0.8286
Iteration 03 | Test Loss = -0.9143
Iteration 04 | Test Loss = -0.8286
Iteration 05 | Test Loss = -0.8286
Iteration 06 | Test Loss = -0.9143
Iteration 07 | Test Loss = -0.8571
Iteration 08 | Test Loss = -0.8857
Iteration 09 | Test Loss = -0.8857
Iteration 10 | Test Loss = -0.9429
Iteration 11 | Test Loss = -0.8000
Iteration 12 | Test Loss = -0.9429
Iteration 13 | Test Loss = -0.7714
Iteration 14 | Test Loss = -0.8000
Iteration 15 | Test Loss = -0.9143
Iteration 16 | Test Loss = -0.9143
Iteration 17 | Test Loss = -0.9714
Iteration 18 | Test Loss = -0.9429
Iteration 19 | Test Loss = -0.8286
Result for food_neutouch_fft_svmlinear: -0.8800 ± 0.0561

Iteration 00 | Test Loss = -0.9429
Iteration 01 | Test Loss = -0.9143
Iteration 02 | Test Loss = -0.8286
Iteration 03 | Test Loss = -0.9143
Iteration 04 | Test Loss = -0.8857
Iteration 05 | Test Loss = -0.9143
Iteration 06 | Test Loss = -0.9429
Iteration 07 | Test Loss = -0.8857
Iteration 08 | Test Loss = -0.8571
Iteration 09 | Test Loss = -0.8857
Iteration 10 | Test Loss = -0.9429
Iteration 11 | Test Loss = -0.7143
Iteration 12 | Test Loss = -0.9429
Iteration 13 | Test Loss = -0.8000
Iteration 14 | Test Loss = -0.8000
Iteration 15 | Test Loss = -0.9714
Iteration 16 | Test Loss = -0.9429
Iteration 17 | Test Loss = -0.9714
Iteration 18 | Test Loss = -0.8571
Iteration 19 | Test Loss = -0.8000
Result for food_neutouch_fft_svmrbf: -0.8857 ± 0.0670

Iteration 00 | Test Loss = -0.8571
Iteration 01 | Test Loss = -0.8571
Iteration 02 | Test Loss = -0.7143
Iteration 03 | Test Loss = -0.5714
Iteration 04 | Test Loss = -0.9143
Iteration 05 | Test Loss = -0.8571
Iteration 06 | Test Loss = -0.7143
Iteration 07 | Test Loss = -0.9429
Iteration 08 | Test Loss = -0.8000
Iteration 09 | Test Loss = -0.9143
Iteration 10 | Test Loss = -0.9429
Iteration 11 | Test Loss = -0.8857
Iteration 12 | Test Loss = -0.6000
Iteration 13 | Test Loss = -0.9143
Iteration 14 | Test Loss = -0.7429
Iteration 15 | Test Loss = -0.8857
Iteration 16 | Test Loss = -0.8000
Iteration 17 | Test Loss = -0.8857
Iteration 18 | Test Loss = -0.7714
Iteration 19 | Test Loss = -0.8000
Result for food_neutouch_fft_mlp: -0.8186 ± 0.1039

Iteration 00 | Test Loss = -0.6857
Iteration 01 | Test Loss = -0.5143
Iteration 02 | Test Loss = -0.6571
Iteration 03 | Test Loss = -0.6000
Iteration 04 | Test Loss = -0.4571
Iteration 05 | Test Loss = -0.7143
Iteration 06 | Test Loss = -0.3714
Iteration 07 | Test Loss = -0.5429
Iteration 08 | Test Loss = -0.6000
Iteration 09 | Test Loss = -0.6857
Iteration 10 | Test Loss = -0.5429
Iteration 11 | Test Loss = -0.4000
Iteration 12 | Test Loss = -0.4857
Iteration 13 | Test Loss = -0.6571
Iteration 14 | Test Loss = -0.7143
Iteration 15 | Test Loss = -0.5429
Iteration 16 | Test Loss = -0.5143
Iteration 17 | Test Loss = -0.4857
Iteration 18 | Test Loss = -0.6571
Iteration 19 | Test Loss = -0.6000
Result for food_neuhalf_baseline_svmlinear: -0.5714 ± 0.0994

Iteration 00 | Test Loss = -0.6571
Iteration 01 | Test Loss = -0.7429
Iteration 02 | Test Loss = -0.7143
Iteration 03 | Test Loss = -0.6857
Iteration 04 | Test Loss = -0.6571
Iteration 05 | Test Loss = -0.6571
Iteration 06 | Test Loss = -0.7143
Iteration 07 | Test Loss = -0.7714
Iteration 08 | Test Loss = -0.7429
Iteration 09 | Test Loss = -0.7143
Iteration 10 | Test Loss = -0.8000
Iteration 11 | Test Loss = -0.5714
Iteration 12 | Test Loss = -0.6857
Iteration 13 | Test Loss = -0.7429
Iteration 14 | Test Loss = -0.8000
Iteration 15 | Test Loss = -0.8286
Iteration 16 | Test Loss = -0.6857
Iteration 17 | Test Loss = -0.8000
Iteration 18 | Test Loss = -0.6286
Iteration 19 | Test Loss = -0.6571
Result for food_neuhalf_baseline_svmrbf: -0.7129 ± 0.0648

Iteration 00 | Test Loss = -0.7143
Iteration 01 | Test Loss = -0.6000
Iteration 02 | Test Loss = -0.5143
Iteration 03 | Test Loss = -0.6857
Iteration 04 | Test Loss = -0.5143
Iteration 05 | Test Loss = -0.6857
Iteration 06 | Test Loss = -0.4571
Iteration 07 | Test Loss = -0.6286
Iteration 08 | Test Loss = -0.8571
Iteration 09 | Test Loss = -0.6857
Iteration 10 | Test Loss = -0.6857
Iteration 11 | Test Loss = -0.6000
Iteration 12 | Test Loss = -0.6000
Iteration 13 | Test Loss = -0.7429
Iteration 14 | Test Loss = -0.7429
Iteration 15 | Test Loss = -0.5714
Iteration 16 | Test Loss = -0.6286
Iteration 17 | Test Loss = -0.6286
Iteration 18 | Test Loss = -0.6286
Iteration 19 | Test Loss = -0.5429
Result for food_neuhalf_baseline_mlp: -0.6357 ± 0.0912

Iteration 00 | Test Loss = -0.8571
Iteration 01 | Test Loss = -0.8571
Iteration 02 | Test Loss = -0.8000
Iteration 03 | Test Loss = -0.8857
Iteration 04 | Test Loss = -0.7714
Iteration 05 | Test Loss = -0.8286
Iteration 06 | Test Loss = -0.8286
Iteration 07 | Test Loss = -0.8286
Iteration 08 | Test Loss = -0.8857
Iteration 09 | Test Loss = -0.9143
Iteration 10 | Test Loss = -0.9429
Iteration 11 | Test Loss = -0.6857
Iteration 12 | Test Loss = -0.8000
Iteration 13 | Test Loss = -0.7714
Iteration 14 | Test Loss = -0.7714
Iteration 15 | Test Loss = -0.8857
Iteration 16 | Test Loss = -0.8857
Iteration 17 | Test Loss = -0.8857
Iteration 18 | Test Loss = -0.8286
Iteration 19 | Test Loss = -0.8000
Result for food_neuhalf_fft_svmlinear: -0.8357 ± 0.0592

Iteration 00 | Test Loss = -0.8286
Iteration 01 | Test Loss = -0.9429
Iteration 02 | Test Loss = -0.7714
Iteration 03 | Test Loss = -0.8857
Iteration 04 | Test Loss = -0.8286
Iteration 05 | Test Loss = -0.8571
Iteration 06 | Test Loss = -0.8857
Iteration 07 | Test Loss = -0.9429
Iteration 08 | Test Loss = -0.8571
Iteration 09 | Test Loss = -0.8571
Iteration 10 | Test Loss = -0.9714
Iteration 11 | Test Loss = -0.7143
Iteration 12 | Test Loss = -0.8857
Iteration 13 | Test Loss = -0.7714
Iteration 14 | Test Loss = -0.7714
Iteration 15 | Test Loss = -0.9714
Iteration 16 | Test Loss = -0.9143
Iteration 17 | Test Loss = -0.9714
Iteration 18 | Test Loss = -0.8000
Iteration 19 | Test Loss = -0.8000
Result for food_neuhalf_fft_svmrbf: -0.8614 ± 0.0741

Iteration 00 | Test Loss = -0.8571
Iteration 01 | Test Loss = -0.8000
Iteration 02 | Test Loss = -0.7714
Iteration 03 | Test Loss = -0.9143
Iteration 04 | Test Loss = -0.8286
Iteration 05 | Test Loss = -0.8571
Iteration 06 | Test Loss = -0.8286
Iteration 07 | Test Loss = -0.9143
Iteration 08 | Test Loss = -0.8286
Iteration 09 | Test Loss = -0.7143
Iteration 10 | Test Loss = -0.9143
Iteration 11 | Test Loss = -0.8000
Iteration 12 | Test Loss = -0.7714
Iteration 13 | Test Loss = -0.7429
Iteration 14 | Test Loss = -0.8286
Iteration 15 | Test Loss = -0.6571
Iteration 16 | Test Loss = -0.8286
Iteration 17 | Test Loss = -0.7714
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.6571
Result for food_neuhalf_fft_mlp: -0.8100 ± 0.0757
