Iteration 00 | Test Loss = -0.6667
Result for handoverrod_neutouch_baseline_svmlinear: -0.3682 ± 0.1332

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.5455
Iteration 03 | Test Loss = -0.3636
Iteration 04 | Test Loss = -0.4545
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.5455
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.3636
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.4545
Result for handoverrod_neutouch_baseline_svmrbf: -0.5364 ± 0.1072

Iteration 00 | Test Loss = -0.3636
Iteration 01 | Test Loss = -0.4545
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.5455
Iteration 06 | Test Loss = -0.2727
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.0909
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.2727
Iteration 12 | Test Loss = -0.2727
Iteration 13 | Test Loss = -0.3636
Iteration 14 | Test Loss = -0.2727
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.3636
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.4545
Result for handoverrod_neutouch_baseline_mlp: -0.4000 ± 0.1164

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.6364
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.7273
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.2727
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.8182
Result for handoverrod_neutouch_fft_svmlinear: -0.5727 ± 0.1351

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.3636
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.5455
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.2727
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
Result for handoverrod_neutouch_fft_svmrbf: -0.6409 ± 0.1479

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.7273
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.3636
Iteration 04 | Test Loss = -0.7273
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.5455
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.3636
Result for handoverrod_neutouch_fft_mlp: -0.6045 ± 0.1416

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.2727
Iteration 02 | Test Loss = -0.3636
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.1818
Iteration 06 | Test Loss = -0.3636
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.2727
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.1818
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.4545
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.2727
Iteration 18 | Test Loss = -0.1818
Iteration 19 | Test Loss = -0.3636
Result for handoverrod_neuhalf_baseline_svmlinear: -0.4000 ± 0.1298

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.5455
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.4545
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.2727
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.5455
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.6364
Result for handoverrod_neuhalf_baseline_svmrbf: -0.5636 ± 0.1273

Iteration 00 | Test Loss = -0.4545
Iteration 01 | Test Loss = -0.3636
Iteration 02 | Test Loss = -0.4545
Iteration 03 | Test Loss = -0.7273
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.3636
Iteration 08 | Test Loss = -0.3636
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.2727
Iteration 12 | Test Loss = -0.3636
Iteration 13 | Test Loss = -0.2727
Iteration 14 | Test Loss = -0.3636
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.3636
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.5455
Result for handoverrod_neuhalf_baseline_mlp: -0.4455 ± 0.1182

Iteration 00 | Test Loss = -0.4545
Iteration 01 | Test Loss = -0.3636
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.4545
Iteration 06 | Test Loss = -0.5455
Iteration 07 | Test Loss = -0.3636
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.3636
Iteration 11 | Test Loss = -0.4545
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.8182
Result for handoverrod_neuhalf_fft_svmlinear: -0.5591 ± 0.1294

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.4545
Iteration 02 | Test Loss = -0.6364
Iteration 03 | Test Loss = -0.3636
Iteration 04 | Test Loss = -0.7273
Iteration 05 | Test Loss = -0.3636
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.3636
Iteration 11 | Test Loss = -0.3636
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for handoverrod_neuhalf_fft_svmrbf: -0.5682 ± 0.1345

Iteration 00 | Test Loss = -0.4545
Iteration 01 | Test Loss = -0.4545
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.5455
Iteration 06 | Test Loss = -0.5455
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.4545
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.3636
Iteration 11 | Test Loss = -0.3636
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.5455
Result for handoverrod_neuhalf_fft_mlp: -0.5545 ± 0.1146

Iteration 00 | Test Loss = -0.2500
Iteration 01 | Test Loss = -0.0833
Iteration 02 | Test Loss = -0.4167
Iteration 03 | Test Loss = -0.4167
Iteration 04 | Test Loss = -0.6667
Iteration 05 | Test Loss = -0.5000
Iteration 06 | Test Loss = -0.5000
Iteration 07 | Test Loss = -0.1667
Iteration 08 | Test Loss = -0.0833
Iteration 09 | Test Loss = -0.4167
Iteration 10 | Test Loss = -0.3333
Iteration 11 | Test Loss = -0.3333
Iteration 12 | Test Loss = -0.5000
Iteration 13 | Test Loss = -0.5000
Iteration 14 | Test Loss = -0.5000
Iteration 15 | Test Loss = -0.3333
Iteration 16 | Test Loss = -0.4167
Iteration 17 | Test Loss = -0.3333
Iteration 18 | Test Loss = -0.5000
Iteration 19 | Test Loss = -0.3333
Result for handoverbox_biotac_baseline_svmlinear: -0.3792 ± 0.1455

Iteration 00 | Test Loss = -0.5000
Iteration 01 | Test Loss = -0.5000
Iteration 02 | Test Loss = -0.6667
Iteration 03 | Test Loss = -0.6667
Iteration 04 | Test Loss = -0.3333
Iteration 05 | Test Loss = -0.5000
Iteration 06 | Test Loss = -0.6667
Iteration 07 | Test Loss = -0.3333
Iteration 08 | Test Loss = -0.2500
Iteration 09 | Test Loss = -0.3333
Iteration 10 | Test Loss = -0.5833
Iteration 11 | Test Loss = -0.4167
Iteration 12 | Test Loss = -0.5833
Iteration 13 | Test Loss = -0.5833
Iteration 14 | Test Loss = -0.5833
Iteration 15 | Test Loss = -0.4167
Iteration 16 | Test Loss = -0.5833
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.5000
Iteration 19 | Test Loss = -0.5000
Result for handoverbox_biotac_baseline_svmrbf: -0.5042 ± 0.1192

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.5833
Iteration 02 | Test Loss = -0.5833
Iteration 03 | Test Loss = -0.6667
Iteration 04 | Test Loss = -0.5000
Iteration 05 | Test Loss = -0.4167
Iteration 06 | Test Loss = -0.5833
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.6667
Iteration 09 | Test Loss = -0.3333
Iteration 10 | Test Loss = -0.6667
Iteration 11 | Test Loss = -0.5000
Iteration 12 | Test Loss = -0.4167
Iteration 13 | Test Loss = -0.5833
Iteration 14 | Test Loss = -0.5000
Iteration 15 | Test Loss = -0.2500
Iteration 16 | Test Loss = -0.5000
Iteration 17 | Test Loss = -0.4167
Iteration 18 | Test Loss = -0.2500
Iteration 19 | Test Loss = -0.5000
Result for handoverbox_biotac_baseline_mlp: -0.5000 ± 0.1208

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.5833
Iteration 02 | Test Loss = -0.7500
Iteration 03 | Test Loss = -0.6667
Iteration 04 | Test Loss = -0.6667
Iteration 05 | Test Loss = -0.8333
Iteration 06 | Test Loss = -0.4167
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.6667
Iteration 09 | Test Loss = -0.3333
Iteration 10 | Test Loss = -0.7500
Iteration 11 | Test Loss = -0.6667
Iteration 12 | Test Loss = -0.5833
Iteration 13 | Test Loss = -0.5833
Iteration 14 | Test Loss = -0.5000
Iteration 15 | Test Loss = -0.5000
Iteration 16 | Test Loss = -0.5833
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.6667
Iteration 19 | Test Loss = -0.4167
Result for handoverbox_biotac_fft_svmlinear: -0.5917 ± 0.1205

Iteration 00 | Test Loss = -0.5833
Iteration 01 | Test Loss = -0.5000
Iteration 02 | Test Loss = -0.6667
Iteration 03 | Test Loss = -0.6667
Iteration 04 | Test Loss = -0.6667
Iteration 05 | Test Loss = -0.6667
Iteration 06 | Test Loss = -0.7500
Iteration 07 | Test Loss = -0.5000
Iteration 08 | Test Loss = -0.5000
Iteration 09 | Test Loss = -0.3333
Iteration 10 | Test Loss = -0.5000
Iteration 11 | Test Loss = -0.5833
Iteration 12 | Test Loss = -0.6667
Iteration 13 | Test Loss = -0.5000
Iteration 14 | Test Loss = -0.5833
Iteration 15 | Test Loss = -0.4167
Iteration 16 | Test Loss = -0.7500
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.6667
Iteration 19 | Test Loss = -0.8333
Result for handoverbox_biotac_fft_svmrbf: -0.5958 ± 0.1187

Iteration 00 | Test Loss = -0.7500
Iteration 01 | Test Loss = -0.5000
Iteration 02 | Test Loss = -0.8333
Iteration 03 | Test Loss = -0.7500
Iteration 04 | Test Loss = -0.7500
Iteration 05 | Test Loss = -0.8333
Iteration 06 | Test Loss = -0.6667
Iteration 07 | Test Loss = -0.0833
Iteration 08 | Test Loss = -0.6667
Iteration 09 | Test Loss = -0.3333
Iteration 10 | Test Loss = -0.6667
Iteration 11 | Test Loss = -0.7500
Iteration 12 | Test Loss = -0.5833
Iteration 13 | Test Loss = -0.5833
Iteration 14 | Test Loss = -0.5000
Iteration 15 | Test Loss = -0.6667
Iteration 16 | Test Loss = -0.8333
Iteration 17 | Test Loss = -0.5833
Iteration 18 | Test Loss = -0.7500
Iteration 19 | Test Loss = -0.5833
Result for handoverbox_biotac_fft_mlp: -0.6333 ± 0.1776

Iteration 00 | Test Loss = -0.9091
Iteration 01 | Test Loss = -0.7273
Iteration 02 | Test Loss = -0.5455
Iteration 03 | Test Loss = -0.1818
Iteration 04 | Test Loss = -0.4545
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.4545
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.3636
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.4545
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.6364
Result for handoverbox_neutouch_baseline_svmlinear: -0.5318 ± 0.1445

Iteration 00 | Test Loss = -0.9091
Iteration 01 | Test Loss = -0.8182
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.5455
Iteration 04 | Test Loss = -0.8182
Iteration 05 | Test Loss = -0.8182
Iteration 06 | Test Loss = -0.7273
Iteration 07 | Test Loss = -0.7273
Iteration 08 | Test Loss = -0.7273
Iteration 09 | Test Loss = -1.0000
Iteration 10 | Test Loss = -0.8182
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.9091
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.8182
Result for handoverbox_neutouch_baseline_svmrbf: -0.7909 ± 0.1041

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.9091
Iteration 02 | Test Loss = -0.6364
Iteration 03 | Test Loss = -0.3636
Iteration 04 | Test Loss = -0.0909
Iteration 05 | Test Loss = -0.6364
Iteration 06 | Test Loss = -0.5455
Iteration 07 | Test Loss = -0.2727
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.3636
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.7273
Result for handoverbox_neutouch_baseline_mlp: -0.5545 ± 0.1905

Iteration 00 | Test Loss = -0.7273
Iteration 01 | Test Loss = -0.7273
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.8182
Iteration 04 | Test Loss = -0.8182
Iteration 05 | Test Loss = -0.7273
Iteration 06 | Test Loss = -0.9091
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.5455
Iteration 09 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.8182
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.6364
Result for handoverbox_neutouch_fft_svmlinear: -0.7273 ± 0.0813

Iteration 00 | Test Loss = -0.6364
Iteration 01 | Test Loss = -0.5455
Iteration 02 | Test Loss = -0.6364
Iteration 03 | Test Loss = -0.5455
Iteration 04 | Test Loss = -0.8182
Iteration 05 | Test Loss = -0.8182
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.7273
Iteration 08 | Test Loss = -0.5455
Iteration 09 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.8182
Result for handoverbox_neutouch_fft_svmrbf: -0.7182 ± 0.1072

Iteration 00 | Test Loss = -0.5455
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.7273
Iteration 03 | Test Loss = -0.8182
Iteration 04 | Test Loss = -0.6364
Iteration 05 | Test Loss = -0.8182
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.5455
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.9091
Iteration 10 | Test Loss = -0.9091
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.7273
Result for handoverbox_neutouch_fft_mlp: -0.6818 ± 0.1132

Iteration 00 | Test Loss = -0.8182
Iteration 01 | Test Loss = -0.6364
Iteration 02 | Test Loss = -0.4545
Iteration 03 | Test Loss = -0.1818
Iteration 04 | Test Loss = -0.2727
Iteration 05 | Test Loss = -0.7273
Iteration 06 | Test Loss = -0.6364
Iteration 07 | Test Loss = -0.4545
Iteration 08 | Test Loss = -0.2727
Iteration 09 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.3636
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.6364
Result for handoverbox_neuhalf_baseline_svmlinear: -0.5273 ± 0.1666

Iteration 00 | Test Loss = -0.9091
Iteration 01 | Test Loss = -0.9091
Iteration 02 | Test Loss = -0.8182
Iteration 03 | Test Loss = -0.4545
Iteration 04 | Test Loss = -0.5455
Iteration 05 | Test Loss = -0.9091
Iteration 06 | Test Loss = -0.8182
Iteration 07 | Test Loss = -0.6364
Iteration 08 | Test Loss = -0.6364
Iteration 09 | Test Loss = -0.9091
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.8182
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
